Datetime,sentiment
2022-05-30 09:53:59+00:00,Neutral
2022-05-30 09:50:54+00:00,Positive
2022-05-30 09:50:53+00:00,Neutral
2022-05-30 09:45:49+00:00,Neutral
2022-05-30 09:41:31+00:00,Neutral
2022-05-30 09:40:58+00:00,Neutral
2022-05-30 09:40:02+00:00,Positive
2022-05-30 09:40:00+00:00,Positive
2022-05-30 09:33:03+00:00,Neutral
2022-05-30 09:20:02+00:00,Positive
2022-05-30 09:20:00+00:00,Positive
2022-05-30 09:14:20+00:00,Neutral
2022-05-30 09:12:43+00:00,Neutral
2022-05-30 09:08:57+00:00,Neutral
2022-05-30 09:05:09+00:00,Neutral
2022-05-30 09:00:01+00:00,Positive
2022-05-30 09:00:00+00:00,Positive
2022-05-30 08:51:00+00:00,Neutral
2022-05-30 08:47:10+00:00,Neutral
2022-05-30 08:45:10+00:00,Neutral
2022-05-30 08:40:02+00:00,Positive
2022-05-30 08:40:00+00:00,Positive
2022-05-30 08:33:43+00:00,Neutral
2022-05-30 08:30:03+00:00,Neutral
2022-05-30 08:30:01+00:00,Neutral
2022-05-30 08:29:00+00:00,Neutral
2022-05-30 08:21:15+00:00,Neutral
2022-05-30 08:21:06+00:00,Neutral
2022-05-30 08:20:02+00:00,Positive
2022-05-30 08:20:00+00:00,Positive
2022-05-30 08:19:10+00:00,Neutral
2022-05-30 08:15:02+00:00,Neutral
2022-05-30 08:10:17+00:00,Neutral
2022-05-30 08:10:00+00:00,Neutral
2022-05-30 08:09:41+00:00,Positive
2022-05-30 08:09:03+00:00,Neutral
2022-05-30 08:07:31+00:00,Neutral
2022-05-30 08:00:04+00:00,Neutral
2022-05-30 08:00:02+00:00,Positive
2022-05-30 08:00:00+00:00,Positive
2022-05-30 07:51:00+00:00,Neutral
2022-05-30 07:50:03+00:00,Neutral
2022-05-30 07:48:03+00:00,Neutral
2022-05-30 07:47:24+00:00,Neutral
2022-05-30 07:41:28+00:00,Neutral
2022-05-30 07:40:00+00:00,Positive
2022-05-30 07:34:38+00:00,Positive
2022-05-30 07:20:02+00:00,Positive
2022-05-30 07:20:00+00:00,Positive
2022-05-30 07:13:41+00:00,Neutral
2022-05-30 07:12:13+00:00,Neutral
2022-05-30 07:11:39+00:00,Positive
