Datetime,Text
2022-05-30 09:53:59+00:00,@zeynepdenbiri #mana grafık atarsan cok sevınırım destek direnc noktaları
2022-05-30 09:50:54+00:00,"If our short position is successful, we move to the next phase , buying $mana in spot trading at 0.8 holding it to 2 or 3 dollars.  #investing #altcoins #mana https://t.co/1WrPneNl7l"
2022-05-30 09:50:53+00:00,"Let’s analyze $mana together 

Shorting $mana from 1.0800 putting stoploss at 1.1100

From my observation an imbalance is not filled at 0.8 ( that’s when we close our short position)…..👇check the next thread for more….

#mana #btc #luna #bitcoin #priceanalysis #Crypto #gem https://t.co/9n4jElC1AP"
2022-05-30 09:45:49+00:00,"🚨Wearables Giveaway!🚨
 🎉4 winners🎉 
👇
Rules:
1. Must Follow 
@CryptoChimbi @ChimbiCollab @DCL_Brasil @atrovenado 
2. ❤ &amp; rt 🐤
3. Tag 3 friends
#NFTCommunity #NFTGiveaways #opensea #PolygonNFT #MATIC #MANA #NFT #Airdrop #EthereumNFTs #EthGiveaway 
⌛24hrs https://t.co/Fq5WcvVsu7"
2022-05-30 09:41:31+00:00,"[BUY SIGNAL] 🚀
MANAUSDT (1d) Bullish divergence with 3 interval confirmations

$MANA #MANA"
2022-05-30 09:40:58+00:00,"We still back on the topic $mana
#mana"
2022-05-30 09:40:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/9GADUv5cvX"
2022-05-30 09:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/hUg0AMBPWl"
2022-05-30 09:33:03+00:00,16.51% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.025 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 09:20:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/jK3jecZeIz"
2022-05-30 09:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/xIoNF41Dqn"
2022-05-30 09:14:20+00:00,#MANA POSTINGAN GW KALIAN REKAYAS 🇮🇩🤗📈 https://t.co/lwebEKXQwN
2022-05-30 09:12:43+00:00,@reianalog #kok #dah #malam #di #bumi #bagian #mana #kamu
2022-05-30 09:08:57+00:00,"#Kızılay , #Metaverse ’e Giriş Yapıyor

#sand #mana #raca #Decentraland https://t.co/Qu6EL8MYZ1"
2022-05-30 09:05:09+00:00,Kısa vadeli ralli sepetim #sxp #chz #mana #eth  #devo #tvk #avax ve binance fan tokenleri
2022-05-30 09:00:01+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/VxsKQUF98E"
2022-05-30 09:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/dcuH9jRelU"
2022-05-30 08:51:00+00:00,"Last #Signal Results💋

#DASH ✅ 57.53%
#LINK ✅ 92.10%
$CELO ✅ 28.70%
$ANKR ✅ 84.24%
#BTTC ✅ 39.46%
$IMX ✅ 96.25%
#ZIL ✅ 56.34%
#MANA ✅ 6.05%
$VET ✅ 48.55%
#ONT ✅ 63.03%

All Details on TG👍Total Profit 💵572.25%"
2022-05-30 08:47:10+00:00,"[BUY SIGNAL] 🚀
MANAUSDT (1d) Bullish divergence with 3 interval confirmations

$MANA #MANA"
2022-05-30 08:45:10+00:00,"🗡 MANAUSD 15m #MACD Cross Down 📉 - Open (1.058), Close (1.052), High (1.06), Low (1.051), Volume (46141.579999999994) $MANAUSD #MANAUSD $MANA #MANA #decentraland https://t.co/ZJCjHDmnhY"
2022-05-30 08:40:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/tjVdjrBIsF"
2022-05-30 08:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/4PgD1uyETR"
2022-05-30 08:33:43+00:00,Önünüzdeki 7aylık süreçte  boğa yaşayacağımız bir döneme giriyoruz. #Bitcoin #sand #mana #raca https://t.co/mLcmJZiipT
2022-05-30 08:30:03+00:00,16.07% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.031 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 08:30:01+00:00,"🗡 MANAUSD 15m #MACD Cross Up 📈 - Open (1.047), Close (1.058), High (1.066), Low (1.047), Volume (116127.77) $MANAUSD #MANAUSD $MANA #MANA #decentraland https://t.co/ZJCjHDmnhY"
2022-05-30 08:29:00+00:00,"[CRYPTO] Scalping FUTURES | 30mn
Time: 2022-05-30 08:28:59
Short $MANAUSDT at 1.0626$
TP = 1.041348$
SL = 1.074289$ $MANA #MANA
Join discord: https://t.co/eKDzQ4kQpf"
2022-05-30 08:21:15+00:00,"Winter Flamel 日記「夫夫でプレイしているFFXIV　第５１話」 | FINAL FANTASY XIV, The Lodestone https://t.co/im9zmaYOfl 

更新しました。事件屋終わって次は…
長いのが二つ余ってる…どっちからか終わらせてから
アライアンス行くかな〜〜〜〜。

#FFXIV #MANA #Belias #夫夫日記 #ヴィエラ #う"
2022-05-30 08:21:06+00:00,"Decentraland (MANA)
Anlık Fiyat: 1,05USDT
Günlük Değişim: %12,08
Anlık Takip: https://t.co/TBzmUoB8Iz
#MANA #KriptoCoin"
2022-05-30 08:20:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/lqGnCOQmdw"
2022-05-30 08:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/tHBOGcorC9"
2022-05-30 08:19:10+00:00,"【配信告知】

⏰20:00～

デイリーFLとかレベルレとかアグライアとかいくよ！
時間余ったらクリコンか地図1枚とかやるかも

【#FF14/#MANA】参加型！手伝って！月曜日だけどウィークリー諸々終わってない！【#新人Vtuber/竜仙べじょ】 https://t.co/PeERVu1N4E @YouTubeより"
