Datetime,Text
2022-05-07 23:53:11+00:00,"Après 3 années en Polynésie, Rainbow Smourbiff repart en métropole...
Bon voyage...
@Olydri_Fournier @Olydri_Noob #tahiti #fenua #mana #totoro https://t.co/JQpxMR9WMR"
2022-05-07 23:50:29+00:00,"ROI surpassed 1800%! https://t.co/tz03JhDDk3… 
#cryptocurrency #bitcoin     #matic #nft #DeFi #DAO #Web3 #trading #BYBIT #Ethereum #SAND #MANA #Gala https://t.co/BZB2lqRoBZ"
2022-05-07 23:48:44+00:00,"Dostlar bugün;

#sand #mana #ıota 

#eps #one #hot #glmr

#btc #usdtdominance 

grafiklerini paylaştım ve telegrama ses kaydı bıraktım inceleyebilirsiniz."
2022-05-07 23:48:01+00:00,38.95% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.167 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.912. CLICK https://t.co/XuHgKGhTMA to track. #MANAbyTorshis
2022-05-07 23:40:01+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnIP9ue https://t.co/IhQ6q1srhL"
2022-05-07 23:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIP9ue https://t.co/fTNkU3RB6H"
2022-05-07 23:37:24+00:00,"Order successful!

LAND Coordinates: [-143, -150]
Price: 3,638 $MANA ($5,020.44 USD = 1.8831 $ETH)

Purchased by https://t.co/5vLODcIRM3 from https://t.co/9XBqsWpm2z

https://t.co/SGiPRMPO6x #decentraland #land #parcel #estate #mana https://t.co/q8DMqwcxmm"
2022-05-07 23:36:57+00:00,"Parcel -143,-150 was purchased for 3,638 $MANA ($5,020.44 USD) by https://t.co/qs51mycoyn from https://t.co/zrvAjnxZd1 #decentraland #land #parcel #estate #mana https://t.co/ymiet9G3El"
2022-05-07 23:27:01+00:00,38.85% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.169 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.912. CLICK https://t.co/XuHgKG0QKA to track. #MANAbyTorshis
2022-05-07 23:20:01+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnIP9ue https://t.co/HkHgcmHNs5"
2022-05-07 23:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIP9ue https://t.co/Tegjm99Kbe"
2022-05-07 23:06:01+00:00,40.07% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.146 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.912. CLICK https://t.co/XuHgKG0QKA to track. #MANAbyTorshis
2022-05-07 23:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnJ6cwe https://t.co/HF4vsOS3od"
2022-05-07 22:54:01+00:00,🔴 #MANA Liquidated Long: $63.3K at $1.335
2022-05-07 22:48:36+00:00,"$MANA
🔻 Decreased 3.52% in 19.3 hour(s)
💵 Price - 1.35880000 USDT
⏱️ [7 May] - 22:48:36 UTC
#MANA #MANAUSDT #CryptoBOT"
2022-05-07 22:45:01+00:00,39.97% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.148 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.912. CLICK https://t.co/XuHgKGhTMA to track. #MANAbyTorshis
2022-05-07 22:44:00+00:00,"9.33 maliyete #near alım emri girdim.  2600 maliyete #eth, 0.444 maliyete #vet emirleri girdim.  1.18 maliyete #mana, 1.83 maliyete #sand,  5.30 maliyete #rune alım emri girdim."
2022-05-07 22:41:34+00:00,"Order successful!

LAND Coordinates: [126, -5]
Price: 1.9780 $ETH ($5,198.9 USD = 1.9780 $ETH)

Purchased by https://t.co/158kV95cBo from https://t.co/p03hyCPVsE

https://t.co/aEgIojOZ2t #decentraland #land #parcel #estate #mana https://t.co/1xzlqDDZhY"
2022-05-07 22:41:22+00:00,"Parcel 126,-5 was purchased for 1.9780 $ETH ($5,198.9 USD) by https://t.co/x4o0tPRKqD from https://t.co/4r5f1xfu1i #decentraland #land #parcel #estate #mana https://t.co/m6eFXKZji8"
2022-05-07 22:40:01+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnIP9ue https://t.co/IReFHnZTLR"
2022-05-07 22:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnJ6cwe https://t.co/nPHn2Pwhes"
2022-05-07 22:25:02+00:00,"🧝Live and have a look around with the Elven dynasties throughout the forests, windy levels and also mountain chains of Elven Inlet.🏰

15%QFH9GDPRCQ -15%off😍

@AftermathIsland #Metaverse #VirtualReality #Play2Earn #TRX #BNB #ADA #Cardano #DOGE #MANA
https://t.co/iGMEq32RMS"
2022-05-07 22:24:01+00:00,39.66% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.154 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.912. CLICK https://t.co/XuHgKGhTMA to track. #MANAbyTorshis
2022-05-07 22:23:29+00:00,@Vatandassinbiri @SoNUmuT_ @YusufAlemdars kim dedi illa ki yükseleceğini? onn garantisi yok. Hatta bu daha iyi günlerimiz. Daha rusya Nükleer silah kullanacak o zaman asıl düşüşü göreceğiz. #mana 0.5$ olunca bu keli bulursunuz inşallah
2022-05-07 22:21:36+00:00,@Vatandassinbiri @YusufAlemdars baba sen ne yaptın yahu. 231.000 tl zarar ne demek.. #mana #sand bunlar hype yaptı bitti gitti. artık yükselmezler.. kusura bakmayın ama siz dolandırılmışsınız..Bu adamın neyine güvendin de aldın gözünü seveyim
2022-05-07 22:21:01+00:00,"$BTC para los que no sabaín porqué es Sabado de Liquidaciones. Miren Misma Hora 2 hrs antes del cierre Diario el sabado pasado y hoy. Misma velita Mismo volumen aparece. Asiáticos entraron vendiendo.
https://t.co/GzAto5v4xQ

#BTC #ETH #LTC #MANA #AVAX  #ROSE #SAND #ATOM #APE https://t.co/9bp7mCbfIw"
2022-05-07 22:20:01+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $NMR or #NMR
2. $MANA or #MANA
Show More https://t.co/Wd1UnIP9ue https://t.co/wJfp9WhC3c"
2022-05-07 22:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnJ6cwe https://t.co/ZOspIe7uT1"
2022-05-07 22:15:02+00:00,"👩‍🚀Step off the security of your estate toward a hazardous land of #PVP. Aspire to grow a collaboration or be a solo gunman its up to you.🔫

15%QFH9GDPRCQ -15%off😍

@AftermathIsland #TRX #BNB #ADA #Cardano #DOGE #MANA #VirtualReality #Metaverse #space
https://t.co/PRcmwHJh61"
2022-05-07 22:05:20+00:00,#mana $mana 1.33$ long emir
2022-05-07 22:03:50+00:00,Bitcoin cehennemim dibine kadar yolun var. Orda da durma daha dibe git #Bitcoin #ETH #mina #mana #sand #dot #sol #avax #alpa #mbox #solana #bake
2022-05-07 22:03:01+00:00,39.36% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.159 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.912. CLICK https://t.co/XuHgKG0QKA to track. #MANAbyTorshis
2022-05-07 22:00:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
Show More https://t.co/Wd1UnIP9ue https://t.co/SAMgV87RD1"
2022-05-07 22:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIP9ue https://t.co/CYYGK6O3Ar"
2022-05-07 21:51:11+00:00,Puslu havada kenarda nakit bulundurmak çok önemli. Piyasa olumluya dönerse zaten sorun olmaz ama hiç ummadığımız noktalara gelirse o zaman işte o naktin önemi kar kat artıyor. #BTC #shib #BNB #AVAX #FITFI #dks #mevr #stars #moov #StarL #sand #tlm #enj #Mana
