Datetime,Text
2022-04-07 23:54:01+00:00,19.09% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $2.332 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $2.882. CLICK https://t.co/W0ejin4N14 to track. #MANAbyTorshis
2022-04-07 23:45:14+00:00,"🔥 New Algo detection: MANA/USDT 🔥

🕛 04-07-2022 23:45:14
🚀 $MANA
📈 Current Price: 2.42661 $USDT
⏩ Exchange: #Kucoin

No Investment Advice.
Follow us on Twitter.
#Crypto #Algo #MANA"
2022-04-07 23:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnJ6cwe https://t.co/Lptx7P9Q4D"
2022-04-07 23:39:50+00:00,"Wordpressで子テーマを作るには、
⁦@webcreatorbox⁩ のマナさんの記事が
参考になります。
ありがとうございます。

#Wordpress 
#Mana 
#Web制作 https://t.co/xolHaRVBf7"
2022-04-07 23:33:01+00:00,19.29% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $2.326 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $2.882. CLICK https://t.co/W0ejin4N14 to track. #MANAbyTorshis
2022-04-07 23:20:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/ijwVzUPfVj"
2022-04-07 23:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MATIC or #MATIC
2. $NMR or #NMR
3. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/ygz7ISsGCM"
2022-04-07 23:12:01+00:00,19.26% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $2.33 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $2.886. CLICK https://t.co/8UIoN6zbCQ to track. #MANAbyTorshis
2022-04-07 23:08:28+00:00,"NFT land was purchased for 3.0000 $ETH ($9,711.15 USD) by https://t.co/wiVL60Wx9M from https://t.co/YM7k5VP4BI #decentraland #land #parcel #estate #mana https://t.co/UwsBZiVpfX"
2022-04-07 23:07:24+00:00,"Order successful!

LAND Coordinates: [55, 132]
Price: 3.0000 $ETH ($9,711.15 USD = 3.0000 $ETH)

Purchased by https://t.co/XfSUPs9Qdp from https://t.co/UxkpoEc7JS

https://t.co/BLjGisW4sJ #decentraland #land #parcel #estate #mana https://t.co/RMKT4wxYCm"
2022-04-07 23:05:54+00:00,"Parcel -62,148 was purchased for 3.0000 $ETH ($9,711.15 USD) by https://t.co/Jgn6OhCseC from https://t.co/UXhRDWPdx2 #decentraland #land #parcel #estate #mana https://t.co/BS5NnO6WOz"
2022-04-07 23:05:39+00:00,"Order successful!

LAND Coordinates: [-62, 148]
Price: 3.0000 $ETH ($9,711.15 USD = 3.0000 $ETH)

Purchased by https://t.co/tmueZOPx22 from https://t.co/Xv6Bl7pEzz

https://t.co/HBLibGOy4N #decentraland #land #parcel #estate #mana https://t.co/gaiSGDfwQl"
2022-04-07 23:00:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $NMR or #NMR
3. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/roCXetPuPh"
2022-04-07 23:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/cm133uHHLK"
2022-04-07 22:53:56+00:00,"As from the start of 2022 it's not bad. Still need to invest more, best time to do some shopping + shorts party  񔐽򓠠

#ETH #BTC #gala #coti #mana #luna #short #long #futurestrading #futures https://t.co/aHdTFJ2O2h"
2022-04-07 22:52:50+00:00,@FellasDomingos @BarrySilbert #MANA #METAVERSE #DECENTRALAND 🚀🚀🚀 https://t.co/9yeTmaElnE
2022-04-07 22:51:09+00:00,"#SAND #MANA
ええ…こんなにアクティブユーザー少なかったのか。

人気メタバース、ユーザー数が伸びず──市場の期待を下回る https://t.co/iuERjfKTdK #coindeskjapan"
2022-04-07 22:51:01+00:00,19.41% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $2.32 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $2.879. CLICK https://t.co/NowSeYu0XT to track. #MANAbyTorshis
2022-04-07 22:42:14+00:00,"【FF14RP店,キャスト・スタッフ募集】
個人宅でひっそりとやっていた雑談スペースから
ロスガルとお話するスペースのロスガル喫茶として完全リニューアル！！
キャストやスタッフを募集しています！
#FF14 #Mana #ロスガル #ロスガル喫茶
https://t.co/qvmliKJxuj"
2022-04-07 22:40:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $NMR or #NMR
3. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/jNJXye4YRM"
2022-04-07 22:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/B9ee4waqlU"
2022-04-07 22:30:01+00:00,19.49% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $2.315 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $2.875. CLICK https://t.co/aDtQkF8jZy to track. #MANAbyTorshis
2022-04-07 22:28:14+00:00,"#MANA #Decentraland #manausdt
Anlık 2.40$'dan işlem görüyor.
0.71$'dan gelen uzun vadeli Yükselen Trendin altında.⚠️
Mart ayının başından bu yana 2.81$ direncin de takıldı.⚠️
2.81$ kritik ve önemli eşik.📝
2.21$ desteği ile 2.81$ direnci arasında yatay hareket ediyor.
👇👇👇 https://t.co/wj6rJgDl3P"
2022-04-07 22:20:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/lRLhFKnF2L"
2022-04-07 22:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $NMR or #NMR
2. $MATIC or #MATIC
3. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/cL6772XMm9"
